image_ids,Best Asymmetry,Mean Asymmetry,Red1,Red2,White,Black,Light brown,Dark brown,Blue gray,Has Veil?
PAT_554_1051_301,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_365_751_709,1.0,2.467,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_355_732_102,2.0,2.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_15_23_240,2.0,2.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PAT_86_1109_306,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_340_714_314,1.0,2.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PAT_324_1465_43,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_168_1486_97,1.0,2.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_115_175_206,1.0,2.732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAT_87_133_810,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_58_91_845,1.0,1.6,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_260_400_842,2.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_570_1085_344,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_394_1562_579,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_212_326_597,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_535_1010_303,1.0,2.066,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_390_790_505,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_517_971_88,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_177_274_371,2.0,2.732,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
PAT_503_949_409,1.0,2.133,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_553_1049_461,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PAT_419_2767_323,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
PAT_373_2598_235,2.0,2.867,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
PAT_325_689_528,1.0,1.733,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_126_192_208,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
PAT_566_179_23,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PAT_75_114_73,1.0,2.467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
PAT_416_824_540,1.0,2.133,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PAT_346_720_265,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
PAT_279_430_356,1.0,2.334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
